Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
myndspark-cognitive-efficiency-tool,"Myndspark Cognitive Efficiency Tool","<p>Our complete Cognitive Efficiency Tool Kit comes complete with our educational workbook with over 30 plus activities, multi-sensory challenges for every activity, therapy cards, activity index, daily therapeutic routine, and therapeutic activity pieces.</p><p>All six sections come with their unique pieces, cards, and indexes for their respective activities and challenges, which focus on specific cognitive functions of the brain.</p><p>The Cognitive Efficiency Tool and activities we have created can be used as a therapeutic tool in the comfort of your own home, to rehabilitate the brain back to efficient functioning.</p><p>We've designed our tool with hands on activities that do not require an app or computer screen, since those with brain injuries can be light sensitive with symptoms like eye strain, blurry vision and double vision.</p>",Myndspark,Physical,"cognitive, therapy, brain injury, rehabilitation, concussion",TRUE,Title,Default,1769,,100,210.00,,TRUE,TRUE,https://i0.wp.com/myndspark.com/wp-content/uploads/2022/04/CogET_Whole-Kit-1.png?resize=1200%2C800&ssl=1
myndspark-expansion-cards,"Myndspark Expansion Cards","<p>It includes a total of 84 downloadable expansion cards with corresponding answer keys.</p><ul><li>12 Deductive math cards</li><li>12 Solutions cards</li><li>12 Deductive reasoning cards</li><li>12 Odd One Out cards</li><li>12 Sentence Scramble cards</li><li>12 Synonyms cards</li><li>12 Visual math cards</li></ul>",Myndspark,Digital,"expansion, cards, digital, downloadable",TRUE,Title,Default,0,,100,20.00,,TRUE,TRUE,
